Time,01-07-2021,02-07-2021,03-07-2021,04-07-2021,05-07-2021,06-07-2021,07-07-2021,08-07-2021,09-07-2021,10-07-2021,11-07-2021,12-07-2021,13-07-2021,14-07-2021,15-07-2021,16-07-2021,17-07-2021,18-07-2021,19-07-2021,20-07-2021,21-07-2021,22-07-2021,23-07-2021,24-07-2021,25-07-2021,26-07-2021,27-07-2021,28-07-2021,29-07-2021,30-07-2021,31-07-2021,01-08-2021,
10-07-2019 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-07-2019 17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-07-2019 18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-07-2019 19:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-07-2019 20:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-07-2019 21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-07-2019 22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10-07-2019 23:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 00:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 01:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 02:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 03:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 04:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 06:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 07:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 08:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 09:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 10:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 15:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 19:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 20:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11-07-2019 23:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-07-2019 00:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-07-2019 01:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-07-2019 02:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-07-2019 03:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-07-2019 04:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-07-2019 05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-07-2019 06:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-07-2019 07:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-07-2019 08:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-07-2019 09:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-07-2019 10:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-07-2019 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-07-2019 12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-07-2019 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-07-2019 14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-07-2019 15:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-07-2019 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-07-2019 17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-07-2019 18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-07-2019 19:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-07-2019 20:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-07-2019 21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-07-2019 22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12-07-2019 23:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-07-2019 00:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-07-2019 01:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-07-2019 02:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-07-2019 03:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-07-2019 04:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-07-2019 05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-07-2019 06:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-07-2019 07:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-07-2019 08:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-07-2019 09:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-07-2019 10:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-07-2019 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-07-2019 12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-07-2019 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-07-2019 14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-07-2019 15:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-07-2019 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-07-2019 17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-07-2019 18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-07-2019 19:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-07-2019 20:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-07-2019 21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-07-2019 22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13-07-2019 23:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-2019 00:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-2019 01:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-2019 02:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-2019 03:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-2019 04:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-2019 05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-2019 06:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-2019 07:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-2019 08:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-2019 09:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-2019 10:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-2019 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-2019 12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-2019 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-2019 14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-2019 15:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-2019 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-2019 17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-2019 18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-2019 19:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-2019 20:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-2019 21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-2019 22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14-07-2019 23:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-2019 00:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-2019 01:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-2019 02:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-2019 03:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-2019 04:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-2019 05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-2019 06:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-2019 07:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-2019 08:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-2019 09:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-2019 10:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-2019 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-2019 12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-2019 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-2019 14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-2019 15:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-2019 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-2019 17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-2019 18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-2019 19:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-2019 20:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-2019 21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-2019 22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15-07-2019 23:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-07-2019 00:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-07-2019 01:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-07-2019 02:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-07-2019 03:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-07-2019 04:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-07-2019 05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-07-2019 06:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-07-2019 07:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-07-2019 08:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-07-2019 09:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-07-2019 10:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-07-2019 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-07-2019 12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-07-2019 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-07-2019 14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-07-2019 15:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-07-2019 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-07-2019 17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-07-2019 18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-07-2019 19:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-07-2019 20:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-07-2019 21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-07-2019 22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16-07-2019 23:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-07-2019 00:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-07-2019 01:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-07-2019 02:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-07-2019 03:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-07-2019 04:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-07-2019 05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-07-2019 06:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-07-2019 07:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-07-2019 08:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-07-2019 09:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-07-2019 10:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-07-2019 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-07-2019 12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-07-2019 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-07-2019 14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-07-2019 15:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-07-2019 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-07-2019 17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-07-2019 18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-07-2019 19:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-07-2019 20:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-07-2019 21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-07-2019 22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17-07-2019 23:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-07-2019 00:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-07-2019 01:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-07-2019 02:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-07-2019 03:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-07-2019 04:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-07-2019 05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-07-2019 06:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-07-2019 07:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-07-2019 08:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-07-2019 09:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-07-2019 10:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-07-2019 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-07-2019 12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-07-2019 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-07-2019 14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-07-2019 15:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-07-2019 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-07-2019 17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-07-2019 18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-07-2019 19:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-07-2019 20:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-07-2019 21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-07-2019 22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-07-2019 23:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-07-2019 00:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-07-2019 01:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-07-2019 02:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-07-2019 03:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-07-2019 04:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-07-2019 05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-07-2019 06:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-07-2019 07:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-07-2019 08:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-07-2019 09:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-07-2019 10:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-07-2019 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-07-2019 12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-07-2019 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-07-2019 14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-07-2019 15:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-07-2019 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-07-2019 17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-07-2019 18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-07-2019 19:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-07-2019 20:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-07-2019 21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-07-2019 22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19-07-2019 23:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-07-2019 00:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-07-2019 01:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-07-2019 02:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-07-2019 03:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-07-2019 04:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-07-2019 05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-07-2019 06:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-07-2019 07:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-07-2019 08:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-07-2019 09:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-07-2019 10:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-07-2019 11:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-07-2019 12:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-07-2019 13:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-07-2019 14:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-07-2019 15:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-07-2019 16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-07-2019 17:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-07-2019 18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-07-2019 19:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-07-2019 20:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-07-2019 21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-07-2019 22:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20-07-2019 23:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-07-2019 00:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-07-2019 01:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-07-2019 02:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-07-2019 03:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-07-2019 04:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-07-2019 05:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-07-2019 06:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21-07-2019 07:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
